State and area,Civilian labor force,,,,Unemployed,,,,,,,
,July,,August,,Number,,,,Percent of labor force,,,
,2024,2025,2024,2025(p),July,,August,,July,,August,
,,,,,2024,2025,2024,2025(p),2024,2025,2024,2025(p)
Greensboro-High Point,"371,780","369,686","369,868","368,286","17,756","16,215","16,484","16,630",4.8,4.4,4.5,4.5
Greenville,"84,047","83,797","82,740","82,549","4,059","3,578","3,759","3,680",4.8,4.3,4.5,4.5
Hickory-Lenoir-Morganton,"172,215","169,608","169,512","167,507","6,864","6,223","6,597","6,687",4,3.7,3.9,4
Jacksonville,"72,614","71,624","74,024","73,188","3,110","2,801","3,040","3,074",4.3,3.9,4.1,4.2
Pinehurst-Southern Pines,"45,472","44,829","45,007","44,559","1,745","1,556","1,684","1,743",3.8,3.5,3.7,3.9
Raleigh-Cary,"863,785","863,008","847,480","846,504","30,224","27,799","28,944","29,413",3.5,3.2,3.4,3.5
Rocky Mount,"64,264","63,336","63,350","62,185","3,542","3,364","3,381","3,450",5.5,5.3,5.3,5.5
Wilmington,"228,960","225,891","225,364","224,180","8,666","8,329","8,600","8,930",3.8,3.7,3.8,4
Winston-Salem,"327,192","328,089","323,334","324,328","13,762","12,693","13,103","13,344",4.2,3.9,4.1,4.1
North Dakota,"434,963","436,050","431,737","435,319","11,690","11,241","10,285","10,903",2.7,2.6,2.4,2.5
Bismarck,"75,718","75,730","73,773","74,522","1,942","1,881","1,662","1,697",2.6,2.5,2.3,2.3
Fargo,"156,230","156,288","155,719","156,773","3,641","4,024","3,554","4,227",2.3,2.6,2.3,2.7
Grand Forks,"57,293","58,221","56,915","57,753","1,606","1,633","1,439","1,621",2.8,2.8,2.5,2.8
Minot,"40,624","40,906","40,369","40,736",915,901,950,"1,033",2.3,2.2,2.4,2.5
Ohio,"5,999,117","6,038,569","5,939,519","5,963,831","282,750","330,957","255,557","291,316",4.7,5.5,4.3,4.9
Akron,"364,194","366,011","359,783","361,182","17,046","20,496","15,910","18,876",4.7,5.6,4.4,5.2
Canton-Massillon,"197,993","198,709","195,898","196,490","9,261","10,775","8,720","10,069",4.7,5.4,4.5,5.1
Cincinnati,"1,191,502","1,198,044","1,183,551","1,185,518","55,480","63,010","51,649","56,099",4.7,5.3,4.4,4.7
Cleveland,"1,133,937","1,154,350","1,118,826","1,129,989","49,845","59,689","41,841","43,276",4.4,5.2,3.7,3.8
Columbus,"1,178,598","1,189,500","1,168,760","1,177,035","51,248","59,910","48,113","55,642",4.3,5,4.1,4.7
Dayton-Kettering-Beavercreek,"399,882","402,165","397,077","398,588","18,977","22,637","17,846","21,081",4.7,5.6,4.5,5.3
Lima,"48,174","48,782","47,775","48,435","2,280","2,775","2,122","2,602",4.7,5.7,4.4,5.4
Mansfield,"54,489","54,282","53,657","53,470","2,812","3,254","2,567","2,991",5.2,6,4.8,5.6
Sandusky,"62,272","62,116","60,590","61,132","3,217","3,408","2,635","3,014",5.2,5.5,4.3,4.9
Springfield,"63,188","62,301","62,226","61,719","3,115","3,683","2,918","3,374",4.9,5.9,4.7,5.5
Toledo,"300,055","303,887","297,071","300,000","19,781","20,727","16,177","17,657",6.6,6.8,5.4,5.9
Weirton-Steubenville(2),"52,297","51,551","51,808","51,012","3,399","3,186","3,320","3,071",6.5,6.2,6.4,6
Youngstown-Warren,"195,804","196,942","193,934","195,084","10,584","12,529","9,715","11,550",5.4,6.4,5,5.9
Oklahoma,"1,995,964","2,011,407","1,984,858","2,017,744","71,152","64,509","67,447","69,150",3.6,3.2,3.4,3.4
Enid,"28,930","28,939","28,583","28,968","1,003",828,953,901,3.5,2.9,3.3,3.1
Lawton,"52,960","53,258","52,480","53,107","2,019","1,818","1,948","2,003",3.8,3.4,3.7,3.8
Oklahoma City,"778,832","789,476","771,316","787,881","25,720","23,791","24,815","25,702",3.3,3,3.2,3.3
Tulsa,"529,023","535,725","523,869","534,632","18,482","16,637","17,762","18,089",3.5,3.1,3.4,3.4
Oregon,"2,213,798","2,235,027","2,213,145","2,242,655","100,789","120,318","96,749","123,886",4.6,5.4,4.4,5.5
Albany,"62,333","63,020","62,075","63,088","3,129","3,574","3,014","3,758",5,5.7,4.9,6
Bend,"135,361","137,528","135,349","137,935","6,060","6,796","5,736","6,835",4.5,4.9,4.2,5
Corvallis,"47,656","48,117","47,482","48,090","1,991","2,300","1,915","2,325",4.2,4.8,4,4.8
Eugene-Springfield,"187,056","188,548","186,634","189,406","8,691","10,084","8,427","10,530",4.6,5.3,4.5,5.6
Grants Pass,"35,515","35,380","35,392","35,436","2,335","2,751","2,146","2,780",6.6,7.8,6.1,7.8
Medford,"106,826","107,464","107,924","108,154","5,923","6,789","5,462","6,618",5.5,6.3,5.1,6.1
Portland-Vancouver-Hillsboro,"1,388,105","1,392,023","1,389,463","1,405,124","60,756","70,628","59,174","74,161",4.4,5.1,4.3,5.3
Salem,"223,838","228,445","225,624","230,329","10,048","12,309","9,763","12,385",4.5,5.4,4.3,5.4
Pennsylvania,"6,654,499","6,592,181","6,623,575","6,572,262","281,594","301,389","295,364","316,996",4.2,4.6,4.5,4.8
Allentown-Bethlehem-Easton,"455,407","453,574","454,226","454,021","20,431","21,788","20,820","23,115",4.5,4.8,4.6,5.1
Altoona,"58,638","57,920","58,685","57,701","2,493","2,605","2,607","2,709",4.3,4.5,4.4,4.7
Chambersburg,"78,849","77,098","78,682","76,812","2,892","3,186","3,030","3,473",3.7,4.1,3.9,4.5
Erie,"128,663","126,636","127,748","126,400","5,377","5,782","5,686","6,134",4.2,4.6,4.5,4.9
Gettysburg,"52,640","51,405","52,371","51,347","1,975","2,164","2,091","2,235",3.8,4.2,4,4.4
Harrisburg-Carlisle,"319,650","316,208","319,089","316,202","12,476","13,774","13,076","14,314",3.9,4.4,4.1,4.5
Johnstown,"56,894","56,654","56,736","56,524","2,965","3,126","3,028","3,267",5.2,5.5,5.3,5.8
